"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"23","1553962_s_at","RHOB","388","ras homolog family member B",-0.445566799774776,6.83603063201307,-0.908009625544292,0.371425598380397,0.49020390244962,-5.75031087857352
"24","1554029_a_at","TTC37","9652","tetratricopeptide repeat domain 37",-1.22175048510184,5.5894543794826,-2.83737727355812,0.00825400547709746,0.0840666092871321,-2.66372523036704
"25","1554036_at","ZBTB24","9841","zinc finger and BTB domain containing 24",-0.782808511124004,7.32263287596953,-1.60376922164035,0.119701234334719,0.230036532395156,-4.9364035024361
"26","1554052_at","CNOT1","23019","CCR4-NOT transcription complex subunit 1",-0.624467674888026,6.83095052579357,-1.38430987878114,0.176920647405447,0.28968958038583,-5.23610271368903
"27","1554132_a_at","CCSER2","54462","coiled-coil serine rich protein 2",-0.932754090840485,7.23428622282307,-2.41282568667153,0.0224415967984107,0.112149057002418,-3.5423490463834
"28","1554152_a_at","OGDH","4967","oxoglutarate dehydrogenase",-0.980447301781836,7.20192082732421,-2.3387710218924,0.0265161965436928,0.121371863270448,-3.68649518028389
"29","1554159_a_at","ZMYND11","10771","zinc finger MYND-type containing 11",-0.810751525262747,5.92199429160145,-2.04492674528881,0.0501174223315334,0.157286188182386,-4.2278111270405
"30","1554167_a_at","GOLGA7","51125","golgin A7",-0.823335060189372,9.24474047273753,-1.94915585758267,0.0610984546613177,0.167734030618397,-4.39285362808722
"31","1554175_at","CD300LB","124599","CD300 molecule like family member b",-1.08150930986463,7.13182780288039,-2.6328076646906,0.0134836041932165,0.0983532066667495,-3.09758897419251
"32","1554229_at","CREBRF","153222","CREB3 regulatory factor",-0.897642766698654,7.8838739707037,-2.35837226146344,0.0253767783931591,0.118307480749589,-3.64862868327289
"33","1554241_at","COCH","1690","cochlin",-0.871785711783876,8.11562858545336,-2.16664618699855,0.0386972017229041,0.143827338504898,-4.00976143783324
"34","1554285_at","HAVCR2","84868","hepatitis A virus cellular receptor 2",-0.55816758802843,6.82128892469212,-1.43538021151298,0.161975051420009,0.274048872768269,-5.1697182326949
"35","1554309_at","EIF4G3","8672","eukaryotic translation initiation factor 4 gamma 3",-0.254926642621712,5.28889851517096,-0.572395987233561,0.571505305443997,0.657277459309596,-5.99091859649816
"36","1554311_a_at","SUPT6H","6830","SPT6 homolog, histone chaperone and transcription elongation factor",-0.841262234571853,5.0187622533781,-2.20049241638342,0.0359651559411734,0.140497195863454,-3.94754169988514
"37","1554339_a_at","COG3","83548","component of oligomeric golgi complex 3",-1.15025651165072,4.92549436922294,-3.17836727853543,0.00352975099707113,0.0612837802422522,-1.90345615900126
"38","1554397_s_at","UEVLD","55293","UEV and lactate/malate dehyrogenase domains",-1.37432753538271,6.31275791933625,-2.9270222770713,0.00662564812489058,0.0794289007352954,-2.4680559469525
"39","1554414_a_at","OSGIN2","734","oxidative stress induced growth inhibitor family member 2",-0.740136975684202,6.68459925246002,-1.73261597666812,0.0938857051717604,0.19737558477654,-4.74348570141741
"40","1554417_s_at","APH1A","51107","aph-1 homolog A, gamma-secretase subunit",0.000620436138074609,7.39119482884867,0.00137019790194228,0.998916208772366,0.998916208772366,-6.15194676180946
"41","1554424_at","FIP1L1","81608","factor interacting with PAPOLA and CPSF1",-0.556989429734452,5.17236838682691,-1.4046909905796,0.170831144571143,0.283685664130456,-5.20985944375531
"42","1554433_a_at","ZNF146","7705","zinc finger protein 146",-0.4583928243345,7.62383341259246,-1.10580689736957,0.277982513800366,0.39547470855205,-5.56044644370157
"43","1554441_a_at","WAPL","23063","WAPL cohesin release factor",-0.484690552425062,7.96202795816821,-1.13333073749325,0.266442826096304,0.384532734269362,-5.53130647226946
"44","1554447_at","JPX","554203","JPX transcript, XIST activator",-0.997426230012731,7.02766620993908,-2.54823469603127,0.0164396385840508,0.101922543813948,-3.27140159127591
"45","1554464_a_at","CRTAP","10491","cartilage associated protein",-0.743296456802145,8.43394709770124,-1.71856191073483,0.0964520985906493,0.199305655436971,-4.76511479038308
"46","1554508_at","PIK3AP1","118788","phosphoinositide-3-kinase adaptor protein 1",-1.28102809582935,8.00868680399608,-2.47517106051288,0.0194644409184503,0.106398574870449,-3.41875454999591
"47","1554577_a_at","PSMD10","5716","proteasome 26S subunit, non-ATPase 10",-0.821982023553998,8.17684003748796,-1.86218299885653,0.0728320899398895,0.176154731913145,-4.53753323193082
"48","1554660_a_at","CNST","163882","consortin, connexin sorting protein",-0.659138699978645,6.40236480043983,-1.74883270573357,0.0909962647443573,0.194924063767421,-4.71835300926845
"49","1554726_at","ZNF655","79027","zinc finger protein 655",-1.04963219967834,6.67842186802709,-2.56969780957685,0.0156373521871594,0.101792229934405,-3.22761517006025
"50","1554747_a_at","SEPTIN2","4735","septin 2",-0.825210158313775,8.76592717054374,-1.83347550665773,0.0771097991273008,0.180580390049284,-4.5841692091937
"51","1554794_a_at","UBE3C","9690","ubiquitin protein ligase E3C",-0.518397636602701,4.85046555750815,-1.3877602506128,0.175877925494239,0.288451255655862,-5.23168332711243
"52","1554821_a_at","ZBED1","9189","zinc finger BED-type containing 1",-1.10858902861813,5.82392688065322,-2.99316563590562,0.00562436742925013,0.0745228684375642,-2.32168062220457
"53","1554834_a_at","RASSF5","83593","Ras association domain family member 5",-0.915161467417667,8.83982835666402,-1.73765108468274,0.0929803845200146,0.196704300864821,-4.73570234463478
"54","1554933_at","PSIP1","11168","PC4 and SFRS1 interacting protein 1",0.753243924891793,6.96716726687515,1.75596348275404,0.0897497526288229,0.193608309542801,-4.70724255961023
"55","1554999_at","RASGEF1B","153020","RasGEF domain family member 1B",-0.0389386658126236,4.34286347285977,-0.0927182512552295,0.926770807865809,0.948433133659421,-6.14769809276112
"56","1555106_a_at","CTDSPL2","51496","CTD small phosphatase like 2",-0.82925416580582,5.90799286795731,-1.73261959803647,0.0938850513789774,0.19737558477654,-4.74348010994755
"57","1555154_a_at","QKI","9444","QKI, KH domain containing RNA binding",-0.626174834898043,7.06849581306077,-1.45480502195001,0.156560700623077,0.269498505175108,-5.14392540193234
"58","1555167_s_at","NAMPT","10135","nicotinamide phosphoribosyltransferase",-1.45395756008055,7.43171886783138,-2.57237688356533,0.0155397936652042,0.101792229934405,-3.22213399512684
"59","1555193_a_at","ZNF277","11179","zinc finger protein 277",-1.13913568610128,5.81769779792345,-2.56113856200676,0.0159528496213781,0.101792229934405,-3.24510349174862
"60","1555214_a_at","CLEC7A","64581","C-type lectin domain containing 7A",-1.33819327803121,7.25750114906904,-2.98232500049639,0.00577799671081367,0.0755641907505113,-2.34578377126677
"61","1555226_s_at","C1orf43","25912","chromosome 1 open reading frame 43",-0.560761431965638,9.38368545216551,-1.17307534565722,0.250398108542333,0.369722720384353,-5.48807962718257
"62","1555326_a_at","ADAM9","8754","ADAM metallopeptidase domain 9",-0.806526216963219,5.53923773352125,-1.8575763959013,0.073504443571662,0.17627972755144,-4.54505463895796
"63","1555334_s_at","SLC30A5","64924","solute carrier family 30 member 5",-0.923525182985855,6.87432123774202,-2.21160694757746,0.0351064964903923,0.138906538046815,-3.92696303910514
"64","1555337_a_at","ZNF317","57693","zinc finger protein 317",-0.815705803224931,6.51025405425264,-1.86159123103776,0.0729181633941989,0.176154731913145,-4.53850024523236
"65","1555355_a_at","ETS1","2113","ETS proto-oncogene 1, transcription factor",-0.678932307821466,9.7404618488256,-1.47549335714315,0.15095408402342,0.263450195167389,-5.11612871249175
"66","1555419_a_at","ASAH1","427","N-acylsphingosine amidohydrolase 1",-0.841405019046677,10.8531937420938,-1.85609421450177,0.0737219075544117,0.17627972755144,-4.54747159348445
"67","1555460_a_at","SLC39A6","25800","solute carrier family 39 member 6",-0.477491812694359,6.61107771911934,-1.01035430904953,0.320757931212793,0.438267621073654,-5.65639506818151
"68","1555464_at","IFIH1","64135","interferon induced with helicase C domain 1",-0.907948334861607,4.76887130458287,-2.10676162638469,0.0439884949308666,0.146662748401328,-4.11817179111901
"69","1555559_s_at","USP25","29761","ubiquitin specific peptidase 25",-0.971225200400698,6.23977871147077,-2.6232237900042,0.0137918786392175,0.0987945919870621,-3.11745577400845
"70","1555565_s_at","TAPBP","6892","TAP binding protein",-0.283152644420177,7.91422211994073,-0.624944919631629,0.536938594570788,0.628022619305831,-5.96021194925214
"71","1555594_a_at","MBNL1","4154","muscleblind like splicing regulator 1",-1.18550770341196,8.21162606377288,-2.12849020863454,0.0419984353679196,0.146662748401328,-4.07908636894746
"72","1555611_s_at","MBD1","4152","methyl-CpG binding domain protein 1",-0.75914756909742,6.86634935786228,-1.93665878103507,0.0626761227621934,0.170120904640239,-4.41395177474423
"73","1555618_s_at","SAE1","10055","SUMO1 activating enzyme subunit 1",-0.457387122290479,8.57778252626944,-1.02569966937618,0.313590513076777,0.431401156650703,-5.64150941759245
"74","1555639_a_at","RBM14","10432","RNA binding motif protein 14",-0.343833262574226,5.71246859851891,-0.805045965837006,0.427404353449772,0.532668544460298,-5.83524066742263
"75","1555643_s_at","LILRA5","353514","leukocyte immunoglobulin like receptor A5",-0.197048798213646,7.71632064406295,-0.428569641894938,0.671432028805576,0.747933686954883,-6.06144070799755
"76","1555659_a_at","TREML1","340205","triggering receptor expressed on myeloid cells like 1",0.611543054082256,8.47438693226222,1.40825834710522,0.169782475586306,0.283411364658606,-5.20523186037068
"77","1555728_a_at","MS4A4A","51338","membrane spanning 4-domains A4A",-1.12876046689777,6.03868269880768,-2.29084115521548,0.0295007430872923,0.126167620917084,-3.77819945120127
"78","1555745_a_at","LYZ","4069","lysozyme",0.646444879970259,11.7992563329852,0.882231851005011,0.384972142987065,0.501509635172024,-5.77248049664773
"79","1555759_a_at","CCL5","6352","C-C motif chemokine ligand 5",0.024121041305774,11.6468549469787,0.0578143685661721,0.95429665685489,0.967750990385574,-6.15029523235186
"80","1555797_a_at","ARPC5","10092","actin related protein 2/3 complex subunit 5",-1.10190343993729,10.0302586903665,-2.5525687935412,0.0162746266330082,0.101792229934405,-3.26257773221915
"81","1555814_a_at","RHOA","387","ras homolog family member A",-0.891692832698844,11.3757342084264,-1.63643695496167,0.112655536862888,0.221531443541158,-4.88864465054779
"82","1555827_at","CCNL1","57018","cyclin L1",-0.444127372969293,6.46479235017842,-0.8837939182504,0.384142306102488,0.5010768163798,-5.77115422800037
"83","1555830_s_at","ESYT2","57488","extended synaptotagmin 2",-1.05128408873555,6.73174951674932,-2.01278879192341,0.0535913504271416,0.160870353363454,-4.28384965401453
"84","1555920_at","CBX3","11335","chromobox 3",-0.27597316866325,7.86803107165333,-0.729541897320749,0.471575599317697,0.572782417367149,-5.89132255616157
"85","1555938_x_at","VIM","7431","vimentin",0.736944154788244,5.96322468062725,1.55021611552705,0.132034435049551,0.245311210507191,-5.01296418280423
"86","1555989_at","DAAM1","23002","dishevelled associated activator of morphogenesis 1",-0.18254175605236,5.70177647636329,-0.372927465499952,0.711939231341231,0.786962465379385,-6.0833612286524
"87","1556053_at","DNAJC7","7266","DnaJ heat shock protein family (Hsp40) member C7",0.591768763307968,8.46766429320291,1.36512140348887,0.182808194689257,0.298359565724605,-5.260505412168
"88","1556066_at","KDM6B","23135","lysine demethylase 6B",1.39268763278292,8.03597143921128,3.50554605162491,0.00151554785623415,0.050501087371616,-1.13843710581954
"89","1556173_a_at","LOC105374809","105374809","uncharacterized LOC105374809",0.302509023647509,6.63643525148485,0.642744370755898,0.525485727433525,0.621363855136969,-5.94921673386657
"90","1556285_s_at","PPA2","27068","inorganic pyrophosphatase 2",-0.834847554693281,8.38934306895619,-1.60383598954334,0.119686471436411,0.230036532395156,-4.93630670188392
"91","1556323_at","CELF2","10659","CUGBP Elav-like family member 2",-0.0351088455411794,8.79494115856638,-0.0727660754014048,0.94249640487294,0.960621335735881,-6.14933010216406
"92","1556474_a_at","LOC285097","285097","uncharacterized FLJ38379",0.894138994660653,5.43864808637972,2.24978847787898,0.0322953607583531,0.131520310019834,-3.85572415388619
"93","1556493_a_at","KDM4C","23081","lysine demethylase 4C",0.802939376011159,7.9204711423583,1.77192090979293,0.087012629787451,0.192121477827287,-4.682249032642
"94","1556672_a_at","RBM6","10180","RNA binding motif protein 6",0.756999285745483,7.32047364334933,1.56132981181336,0.129393001659515,0.242641997525385,-4.99725421670446
"95","1556820_a_at","DLEU2","8847","deleted in lymphocytic leukemia 2",0.501282073105392,6.95031780552445,0.945845421612746,0.352113524671978,0.469640158072426,-5.7166839767482
"96","1556874_a_at","MEX3C","51320","mex-3 RNA binding family member C",-0.527821784705936,6.19597286707886,-1.06835118468388,0.294255228733943,0.412707804190079,-5.59904701214622
"97","1557078_at","SLFN5","162394","schlafen family member 5",-0.830393362005922,7.45734855538127,-1.63528390953877,0.112898234824244,0.221531443541158,-4.89034384894455
"98","1557100_s_at","HECTD1","25831","HECT domain E3 ubiquitin protein ligase 1",-1.29030420840709,6.57989361088874,-3.75936505345606,0.000773972253448573,0.0476283979216826,-0.526288430944976
"99","1557158_s_at","KMT2C","58508","lysine methyltransferase 2C",-1.19095688491945,5.57510397232678,-3.38067887596789,0.00209908120292661,0.0542709461692085,-1.43396121636752
"100","1557227_s_at","TPR","7175","translocated promoter region, nuclear basket protein",-1.08656670444177,6.55285977256275,-2.83912023001134,0.0082190293428411,0.0840666092871321,-2.65995166945866
"101","1557257_at","BCL10","8915","BCL10 immune signaling adaptor",-0.38930818958976,6.37219797667866,-0.875983529489118,0.388303045133466,0.504543440579871,-5.77776343971797
"102","1557394_at","DLGAP4","22839","DLG associated protein 4",0.883181168424973,6.31404419331165,2.01015621146069,0.0538850850065188,0.160870353363454,-4.2884109900528
"103","1557477_at","STIM1","6786","stromal interaction molecule 1",0.837394035011839,7.62719471514268,1.99027263436225,0.0561496687838377,0.163118615213934,-4.3227189698687
"104","1557706_at","ZHX2","22882","zinc fingers and homeoboxes 2",0.93071106824518,5.85996862792803,2.02826580380232,0.0518927758931221,0.160294556209736,-4.25694423816582
"105","1557910_at","HSP90AB1","3326","heat shock protein 90 alpha family class B member 1",-1.1577780840837,10.2839088101507,-1.98493952848981,0.0567710836190552,0.163118615213934,-4.33187773176452
"106","1557984_s_at","RPAP3","79657","RNA polymerase II associated protein 3",-1.11848287731442,5.04953569945356,-2.50106347259531,0.0183382959817562,0.10403901692036,-3.36684030633223
"107","1558014_s_at","FAR1","84188","fatty acyl-CoA reductase 1",-1.30371747616116,6.09760676251791,-2.96571373887378,0.00602115062590839,0.0764506790385199,-2.38263232146526
"108","1558015_s_at","ACTR2","10097","actin related protein 2",-1.80892608141601,8.57578343657578,-3.11120584563634,0.00418429591408268,0.0666935709790354,-2.05648553246221
"109","1558214_s_at","CTNNA1","1495","catenin alpha 1",-1.84919566973489,5.55757468055295,-3.6607416722068,0.00100635716813058,0.0476283979216826,-0.765809551822768
"110","1558697_a_at","MARF1","9665","meiosis regulator and mRNA stability factor 1",-0.641392470802169,5.41908526936566,-1.40316288338345,0.171281910418388,0.283685664130456,-5.21183860070812
"111","1558739_at","BORCS5","118426","BLOC-1 related complex subunit 5",0.102866013857101,6.13423757216912,0.224486398575674,0.82396744835157,0.882697043074501,-6.12705523309983
"112","1558775_s_at","NSMAF","8439","neutral sphingomyelinase activation associated factor",-1.56784084399592,6.01577606878142,-4.17978527361934,0.00024859065547991,0.0357615414383242,0.51356625877534
"113","1558959_at","FAM126B","285172","family with sequence similarity 126 member B",-0.28790724704477,5.30751017688905,-0.743399125591867,0.463275248790243,0.564791980062681,-5.8814265239986
"114","1559018_at","PTPRE","5791","protein tyrosine phosphatase receptor type E",-0.147694243801586,5.89927923620243,-0.353679070037822,0.726161225669866,0.801803020010477,-6.09024297501742
"115","1559297_at","SNX29P2","440352","sorting nexin 29 pseudogene 2",0.18693759832377,6.59286954598405,0.449335643029467,0.656560428490415,0.736254288964196,-6.05249010478076
"116","1559582_at","RHOQ","23433","ras homolog family member Q",0.851088668135219,9.04370975927661,2.10062615171661,0.0445653957152595,0.147138863886119,-4.12915615412651
"117","1559739_at","CHPT1","56994","choline phosphotransferase 1",-0.062793653901597,6.70224681937416,-0.149131171615094,0.882491839059069,0.922813376876929,-6.14095645394548
"118","1559883_s_at","SAMHD1","25939","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1",-1.55607839542982,9.09132092494794,-3.64676849776264,0.00104434972229989,0.0476283979216826,-0.799582020463568
"119","1559954_s_at","DDX42","11325","DEAD-box helicase 42",-0.823934779345342,8.59704652526332,-2.18006809427813,0.037592314171858,0.142619214919721,-3.9851687668564
"120","1559975_at","BTG1","694","BTG anti-proliferation factor 1",-0.0884322473168089,7.54682074384709,-0.195232595830555,0.846584759214254,0.899273051190668,-6.13311600670416
"121","1560706_at","NEDD9","4739","neural precursor cell expressed, developmentally down-regulated 9",0.639003503934648,8.52910897598136,1.51122424240879,0.141651313752815,0.254719415980509,-5.06733511123795
"122","1561615_s_at","SLC8A1","6546","solute carrier family 8 member A1",-0.608078766859526,6.80457645141073,-1.21072606533875,0.235864692879754,0.353173838374381,-5.44588921276755
"123","1561884_at","CEPT1","10390","choline/ethanolamine phosphotransferase 1",0.603258127112328,7.03235436639651,1.34924554651381,0.187793998471367,0.302573690337066,-5.28047055661888
"124","1562255_at","SYTL3","94120","synaptotagmin like 3",-0.727156570365318,6.56489273486017,-1.53202989119059,0.136451545279742,0.249937622855519,-5.03846845322254
"125","1562368_at","CARD11","84433","caspase recruitment domain family member 11",0.973277013574773,6.39238963177407,2.61878637674003,0.0139368194574139,0.0988336422085621,-3.12663973049454
"126","1562836_at","DDX6","1656","DEAD-box helicase 6",0.386922155192712,7.36557062151189,0.771312223433884,0.446818381180179,0.550645412334362,-5.860950218506
"127","1563111_a_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",-0.7479277754263,7.20984877510085,-1.92079369471191,0.0647299673442258,0.170791937271369,-4.44058766722021
"128","1563455_at","SIK3","23387","SIK family kinase 3",0.362382087273816,7.03992936902312,0.769555476448027,0.447843686893587,0.550645412334362,-5.86226025020715
"129","1563502_at","ZDHHC2","51201","zinc finger DHHC-type palmitoyltransferase 2",0.371165620077178,5.64039835321197,0.830312976439466,0.413207331830598,0.522540281689855,-5.81529668616064
"130","1563674_at","FCRL2","79368","Fc receptor like 2",1.43611521644919,8.43459092760494,3.30879857558458,0.00252780307717561,0.0542709461692085,-1.60216185596642
"131","1563687_a_at","FRYL","285527","FRY like transcription coactivator",-1.15210966115839,5.65607717296415,-2.75827590272505,0.0099970574829157,0.0891983773059536,-2.83364893338061
"132","1564053_a_at","YTHDF3","253943","YTH N6-methyladenosine RNA binding protein 3",-1.20979012108261,7.33698887152358,-2.36524878281182,0.0249877320570651,0.117035563634719,-3.63529497325394
"133","1564139_at","A2M-AS1","144571","A2M antisense RNA 1",0.741078666697369,9.12217096811698,1.53068155599159,0.136783758560413,0.249984110472478,-5.04034927352587
"134","1564494_s_at","P4HB","5034","prolyl 4-hydroxylase subunit beta",-0.534623529536644,8.45660237922117,-1.15333573732459,0.258275996434271,0.376933229578711,-5.50971770515923
"135","1565162_s_at","MGST1","4257","microsomal glutathione S-transferase 1",-0.985407875403393,7.54997622769829,-2.09888813398867,0.0447300330386803,0.147199814607683,-4.13226354111318
"136","1565269_s_at","ATF1","466","activating transcription factor 1",-0.8061334387236,7.12952856614524,-1.98544799434048,0.0567115783568191,0.163118615213934,-4.33100531345266
"137","1565703_at","SMAD4","4089","SMAD family member 4",0.157626489622133,6.55087790599406,0.346324496558478,0.731621960480642,0.805661220563537,-6.09277701197222
"138","1567458_s_at","RAC1","5879","Rac family small GTPase 1",-0.730831375749682,8.53079838548777,-1.73886037900466,0.0927640531594193,0.196659792697969,-4.73383030334444
"139","1568780_at","LOC729732","729732","uncharacterized LOC729732",0.564176668675323,8.40275670917574,1.23999458374369,0.225008024822593,0.341459317363249,-5.41226519940188
"140","1568830_at","IRAK3","11213","interleukin 1 receptor associated kinase 3",-0.524330557944274,5.66983649396708,-1.11060062888844,0.275947308793883,0.393596232231502,-5.5554182842492
"141","1568943_at","INPP5D","3635","inositol polyphosphate-5-phosphatase D",0.790863915809406,7.70925837234911,1.92690125385707,0.0639324797743695,0.170791937271369,-4.43035338674336
"142","1569003_at","VMP1","81671","vacuole membrane protein 1",-0.598330051110473,8.05556957181181,-1.34335768877268,0.189669714728179,0.304135991610313,-5.28782305394615
"143","1569136_at","MGAT4A","11320","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",-0.554402893836999,7.49507727060502,-1.36744425515623,0.182087444901294,0.297665676973382,-5.2575671454349
"144","1569599_at","SAMSN1","64092","SAM domain, SH3 domain and nuclear localization signals 1",-1.36208126448955,5.509673602783,-2.29868265800114,0.0289925216001935,0.12594721325072,-3.76328347571934
"145","1569857_s_at","TPP2","7174","tripeptidyl peptidase 2",-0.97948415332336,6.96649610709611,-2.70591298904102,0.011334748999922,0.095117435357679,-2.94465757008019
"146","1569940_at","SLC6A16","28968","solute carrier family 6 member 16",0.87547473427075,6.86526450805661,1.9537581690028,0.0605262285552996,0.166986060699142,-4.385057976889
"147","200008_s_at","GDI2","2665","GDP dissociation inhibitor 2",-0.396102778562659,10.4226950779539,-0.884023232461353,0.38402058166706,0.5010768163798,-5.77095934286534
"148","200604_s_at","PRKAR1A","5573","protein kinase cAMP-dependent type I regulatory subunit alpha",-0.764630453369731,8.51380673746363,-1.32761958567372,0.194754793748995,0.310313413457654,-5.30733762120851
"149","200607_s_at","RAD21","5885","RAD21 cohesin complex component",-0.960250619139082,9.21926451908953,-2.2877074914134,0.02970608696564,0.126167620917084,-3.78415063389702
"150","200641_s_at","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta",-0.308018257669021,10.9315467525698,-0.642375157871311,0.525721950920256,0.621363855136969,-5.94944785127195
"151","200665_s_at","SPARC","6678","secreted protein acidic and cysteine rich",0.501648192346108,10.1997042666349,1.13971401960428,0.263816826120109,0.382249703457482,-5.52445514516324
"152","200712_s_at","MAPRE1","22919","microtubule associated protein RP/EB family member 1",-0.651665486454833,8.82471545146506,-1.49047378943867,0.146995757264497,0.260159183884438,-5.09579235873823
"153","200722_s_at","CAPRIN1","4076","cell cycle associated protein 1",-0.97140470261032,8.54153056550794,-2.21732475297454,0.0346719774290117,0.138002692770809,-3.91634843250724
"154","200769_s_at","MAT2A","4144","methionine adenosyltransferase 2A",-0.469991317538893,7.28599062194008,-0.936922710497242,0.356606506109003,0.475003639751013,-5.72473020923674
"155","200776_s_at","BZW1","9689","basic leucine zipper and W2 domains 1",-0.911279373251206,9.24662477872182,-1.93510555645626,0.0628746631775843,0.170201037150074,-4.41656682342287
"156","200787_s_at","PEA15","8682","proliferation and apoptosis adaptor protein 15",-0.877044030068214,8.49485047302621,-2.17365302263168,0.0381168281720387,0.143222559586727,-3.99693628661938
"157","200796_s_at","MCL1","4170","MCL1 apoptosis regulator, BCL2 family member",-1.8748042935773,7.55949779811485,-2.45654627790663,0.0203134409965626,0.107097565882401,-3.45588669526844
"158","200803_s_at","TMBIM6","7009","transmembrane BAX inhibitor motif containing 6",-0.840667608595609,11.0931990409476,-1.78187648116743,0.0853411647514383,0.189990233163647,-4.66656514055503
"159","200828_s_at","ZNF207","7756","zinc finger protein 207",-0.571786618221838,10.5744816229662,-1.45729560314664,0.155877061452856,0.269242197054933,-5.14059684555936
"160","200841_s_at","EPRS1","2058","glutamyl-prolyl-tRNA synthetase 1",-1.22581717513633,7.55083996027862,-3.11763184788419,0.0041169717980098,0.0666935709790354,-2.04190885562796
"161","200883_at","UQCRC2","7385","ubiquinol-cytochrome c reductase core protein 2",-0.574189456667325,9.81909887866639,-1.49770378041394,0.145115470009479,0.259098011169406,-5.08591499350006
"162","200890_s_at","SSR1","6745","signal sequence receptor subunit 1",-0.699847264899573,8.11139691765174,-1.69143466101464,0.101572956305474,0.207803128029558,-4.80646165179208
